,ds,yhat,yhat_lower,yhat_upper
0,2020-03-11,5676.508881695392,1594.1734401843855,9583.36509822615
1,2020-03-12,5921.3924312349145,1782.2296506039786,10061.282002558331
2,2020-03-13,6061.377517692898,2072.590745727831,10293.25637602659
3,2020-03-14,6289.67356745739,2211.0609433152667,10552.016704609328
4,2020-03-15,5315.403328782554,1319.5637179330433,9563.382755691484
5,2020-03-16,4735.349664594003,680.1393153794231,8743.360906322894
6,2020-03-17,4836.552854466527,936.2328087144622,8856.570133182138
7,2020-03-18,5564.042806160145,1311.953805553229,9896.068910840251
8,2020-03-19,5808.926355679944,1625.255339323038,9920.41410049185
9,2020-03-20,5948.911442118754,1944.041173425734,10166.083263520493
10,2020-03-21,6177.207491820751,2141.4828530720742,10246.082534736976
11,2020-03-22,5202.937253082436,1315.0010917959112,9222.452458380965
12,2020-03-23,4622.883588845818,614.425284663203,8619.875362116483
13,2020-03-24,4724.086778670669,722.609485537006,8711.735356428031
14,2020-03-25,5451.576730284078,1124.2703954987837,9346.378498944632
15,2020-03-26,5696.460279743567,1619.3331933250583,9636.794360099486
16,2020-03-27,5836.445366099559,1551.127869589141,9706.73544822135
17,2020-03-28,6064.741415746554,2235.644371669693,10161.523446895424
18,2020-03-29,5090.471176952892,1217.6887441096396,9192.571787745259
19,2020-03-30,4510.417501913568,560.3840090162462,8733.126693816646
20,2020-03-31,4611.620680933493,550.872449844281,8644.527734307721
21,2020-04-01,5339.108797670522,1191.1754340094412,9262.445565807962
22,2020-04-02,5583.99051225007,1909.6410652488173,9687.70546768947
23,2020-04-03,5723.967100953292,1782.1775779353761,9829.575231674033
24,2020-04-04,5952.254652946784,1824.1942095167592,9763.6398630171
25,2020-04-05,4977.937624957121,805.0794278284284,8844.212082390412
26,2020-04-06,4397.837171470368,0.0,8548.489225983818
27,2020-04-07,4498.9335597997,444.65274294159303,8688.274849796695
28,2020-04-08,5226.316709950693,838.8578100314838,9092.301694671245
29,2020-04-09,5471.093457944823,1408.4395164103641,9801.406953561971
30,2020-04-10,5610.896119845923,1540.873021638822,9602.170879384243
31,2020-04-11,5839.009745038142,1701.8259755894999,9769.015564414129
32,2020-04-12,4864.484558860009,941.546418404728,8647.436210147203
33,2020-04-13,4284.17594718583,350.78044366790294,8394.959939042235
34,2020-04-14,4385.061993198629,312.07642309795614,8557.617170398882
35,2020-04-15,5112.234801032018,1185.7373692146916,9300.132460728242
36,2020-04-16,5356.755040616798,1300.8083804220646,9684.044030541416
37,2020-04-17,5496.376817120084,1350.7561307053095,9740.67019713437
38,2020-04-18,5724.289584435165,1643.597004665653,9553.977429651572
39,2020-04-19,4749.63606331073,634.8254753801295,8686.105353364173
40,2020-04-20,4169.199116691656,154.2702149630523,8033.863747183424
41,2020-04-21,4270.0115532888385,0.0,8401.006220640329
42,2020-04-22,4997.110751711543,1015.6797338815003,9074.01755175917
43,2020-04-23,5241.603544040683,1429.4549358436655,9366.231559655569
44,2020-04-24,5381.197873289359,1617.9957157186593,9056.907260768807
45,2020-04-25,5609.103165824738,1543.1709427634974,9320.562362661745
46,2020-04-26,4634.4421699215145,398.7459162485906,8275.945622573658
47,2020-04-27,4053.9977484876845,82.5473385298069,8091.32313096935
48,2020-04-28,4154.810181112006,411.73440400629585,7945.712557575802
49,2020-04-29,4881.909375562979,474.41301459794613,9127.34976899074
50,2020-04-30,5126.402167854086,898.3282973922285,9410.329885355508
51,2020-05-01,5265.996497063298,1111.4706519583665,9394.46261690717
52,2020-05-02,5493.901789523462,1462.7565154449278,9329.507492026387
53,2020-05-03,4519.240793540272,474.94461043585653,8622.070501296468
54,2020-05-04,3938.7963720333446,0.0,7748.259135464758
55,2020-05-05,4039.6088045856754,83.45142303175055,8409.297974189321
56,2020-05-06,4766.707998944146,998.0946243038476,8976.539906748892
57,2020-05-07,5011.20079114245,1253.2939222995512,9014.75389347939
58,2020-05-08,5150.795120259895,1019.5498066409734,9319.639303834545
59,2020-05-09,5378.700412667885,1474.602159574432,9567.858055041783
60,2020-05-10,4404.039416633435,326.0951855707844,8193.212240046412
61,2020-05-11,3823.5949951096336,0.0,7830.734740107554
62,2020-05-12,3924.407427644236,0.0,8011.380126914921
63,2020-05-13,4651.506622000978,426.9961545707509,8736.512108094043
64,2020-05-14,4895.999414201284,726.8241596135595,8895.493051001911
65,2020-05-15,5035.593743318519,919.2051364511134,9263.756184377668
66,2020-05-16,5263.499035726591,1177.19387279817,9154.746254332946
67,2020-05-17,4288.838039691207,509.77460764247616,8435.363005142772
68,2020-05-18,3708.3936181686813,0.0,7461.39890598526
69,2020-05-19,3809.2060507027963,0.0,7625.290953877344
70,2020-05-20,4536.305245059677,343.11299526773075,8985.347868045636
71,2020-05-21,4780.798037260118,619.5948312890142,8956.851735698594
72,2020-05-22,4920.392366377144,1057.540756446982,8976.629638662314
73,2020-05-23,5148.297658784642,1151.0191043866064,9294.267105882132
74,2020-05-24,4173.636662753139,17.088268240300124,8124.118429163971
75,2020-05-25,3593.1922412272825,0.0,7821.340392805098
76,2020-05-26,3694.004673761983,0.0,7781.248151400612
77,2020-05-27,4421.103868118377,257.81984441548985,8202.983732283301
78,2020-05-28,4665.596660317508,520.6370567826507,8748.949845161265
79,2020-05-29,4805.190989434526,809.5222146313786,8466.883548330037
